source_key,title,category,department,language,source_domain,status,review_required,sensitivity,stale_after_days,content_preview,recommended_action,decision,reviewer,review_date,reviewer_notes,allowed_decisions,decision_guidance
alte_admissions_general_v1,Master admission guidance - EN,admissions,,en,alte.edu.ge,approved,true,medium,90,"For master's admission guidance, the assistant can collect contact details and route the request to the Admissions team. Exact deadlines, documents and requirements must be confirm",APPROVE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,"APPROVE only if official admissions source is confirmed. If unsure, choose NEEDS_OFFICIAL_SOURCE."
alte_admissions_general_v1,Bachelor admission guidance - KA,admissions,,ka,alte.edu.ge,approved,true,medium,90,"ბაკალავრიატზე ჩარიცხვის ზოგადი კონსულტაციისთვის ბოტს შეუძლია შეაგროვოს საკონტაქტო ინფორმაცია და გადაამისამართოს მოთხოვნა Admissions გუნდთან. ზუსტი ვადები, დოკუმენტები და მოთხოვნები",APPROVE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,"APPROVE only if official admissions source is confirmed. If unsure, choose NEEDS_OFFICIAL_SOURCE."
alte_test_admissions_general_v1,Bachelor admissions overview - KA,admissions,,ka,alte.edu.ge,review_required,true,medium,90,"ბაკალავრიატზე ჩარიცხვის ზოგადი კონსულტაციისას ბოტმა შეიძლება აუხსნას, რომ მოთხოვნა გადაეცემა Admissions გუნდს და სთხოვოს საკონტაქტო მონაცემები. კონკრეტული ვადები, მოთხოვნები და დოკ",APPROVE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,"APPROVE only if official admissions source is confirmed. If unsure, choose NEEDS_OFFICIAL_SOURCE."
alte_test_admissions_general_v1,Master admissions overview - KA,admissions,,ka,alte.edu.ge,review_required,true,medium,90,მაგისტრატურაზე ჩარიცხვის ზოგადი კონსულტაციისას ბოტმა არ უნდა დაასახელოს დაუდასტურებელი ვადები ან მოთხოვნები. მომხმარებელს უნდა შესთავაზოს კონსულტანტთან დაკავშირება და საჭიროების შე,APPROVE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,"APPROVE only if official admissions source is confirmed. If unsure, choose NEEDS_OFFICIAL_SOURCE."
alte_test_admissions_documents_v1,Required documents general guidance - KA,admissions,,ka,alte.edu.ge,review_required,true,medium,90,"ჩარიცხვისთვის საჭირო დოკუმენტების ზუსტი სია განსხვავდება პროგრამისა და აპლიკანტის სტატუსის მიხედვით. ზოგადად შეიძლება საჭირო გახდეს პირადობის დამადასტურებელი დოკუმენტი, განათლების ",APPROVE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,"APPROVE only if official admissions source is confirmed. If unsure, choose NEEDS_OFFICIAL_SOURCE."
alte_test_contact_v1,General contact guidance - EN,contact,,en,alte.edu.ge,review_required,true,low,90,"For Alte University contact questions, direct the user to the official website or admissions consultation channel. Exact address, phone and email details require official confirmat",APPROVE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,"APPROVE only if official contact source is confirmed. If unsure, choose NEEDS_OFFICIAL_SOURCE."
alte_test_contact_v1,General contact guidance - KA,contact,,ka,alte.edu.ge,review_required,true,low,90,"ალტე უნივერსიტეტთან დაკავშირებისთვის გამოიყენე ოფიციალური ვებგვერდი ან ჩარიცხვის/კონსულტაციის არხი. ზუსტი მისამართი, ტელეფონი და ელფოსტა საჭიროებს ოფიციალურ გადამოწმებას, ამიტომ ბო",APPROVE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,"APPROVE only if official contact source is confirmed. If unsure, choose NEEDS_OFFICIAL_SOURCE."
alte_test_deadlines_v1,Admissions deadlines safe answer - EN,deadlines,,en,join.alte.edu.ge,review_required,true,high,30,"The bot must not invent exact application or admission deadlines. If no current approved source is available, it should route the question to Admissions or Academic Registry for co",NEEDS_OFFICIAL_SOURCE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,Default to NEEDS_OFFICIAL_SOURCE or HANDOVER_ONLY. Do not approve deadlines without official source.
alte_test_deadlines_v1,Admissions deadlines safe answer - KA,deadlines,,ka,alte.edu.ge,review_required,true,high,30,"ჩარიცხვის ან განაცხადის ზუსტი ვადები ბოტმა არ უნდა გამოიგონოს. თუ აქტიური დამტკიცებული წყარო არ არის, უნდა მიუთითოს, რომ ვადა უნდა დადასტურდეს Admissions გუნდთან ან Academic Regist",NEEDS_OFFICIAL_SOURCE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,Default to NEEDS_OFFICIAL_SOURCE or HANDOVER_ONLY. Do not approve deadlines without official source.
alte_test_finance_v1,Tuition and fees safe answer - EN,finance,,en,join.alte.edu.ge,review_required,true,high,30,"The bot must not invent exact tuition or fee amounts. If no approved current source is available, it should say that exact tuition must be confirmed by the official source, Finance",NEEDS_OFFICIAL_SOURCE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,Default to NEEDS_OFFICIAL_SOURCE or HANDOVER_ONLY. Do not approve tuition/fees without official source.
alte_finance_safe_v1,Tuition and finance safe handover,finance,,en,alte.edu.ge,approved,true,high,30,"Exact tuition, fees, payment schedules and scholarship details must be verified by Finance or Admissions from an approved current source. The assistant should not invent prices and",NEEDS_OFFICIAL_SOURCE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,Default to NEEDS_OFFICIAL_SOURCE or HANDOVER_ONLY. Do not approve tuition/fees without official source.
alte_test_finance_v1,Tuition and fees safe answer - KA,finance,,ka,alte.edu.ge,review_required,true,high,30,"სწავლის საფასურის ან გადასახადის ზუსტი თანხა ბოტმა არ უნდა გამოიგონოს. თუ დამტკიცებული წყარო არ აქვს, უნდა თქვას, რომ ზუსტი საფასური უნდა დადასტურდეს ოფიციალური წყაროდან, Finance გ",NEEDS_OFFICIAL_SOURCE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,Default to NEEDS_OFFICIAL_SOURCE or HANDOVER_ONLY. Do not approve tuition/fees without official source.
alte_finance_safe_v1,სწავლის საფასური - უსაფრთხო გადამისამართება,finance,,ka,alte.edu.ge,approved,true,high,30,"სწავლის ზუსტი საფასური, გადახდის გრაფიკი და სტიპენდიის დეტალები უნდა დადასტურდეს Finance ან Admissions გუნდთან. ბოტმა არ უნდა გამოიგონოს ფასი და შეუძლია საკონტაქტო ინფორმაციის შეგრ",NEEDS_OFFICIAL_SOURCE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,Default to NEEDS_OFFICIAL_SOURCE or HANDOVER_ONLY. Do not approve tuition/fees without official source.
alte_test_international_admissions_v1,International admissions document guidance - EN,international_admissions,,en,join.alte.edu.ge,review_required,true,high,60,"International students should contact International Admissions. Required documents may include passport, education document, transcript, and translation or legalization depending o",HANDOVER_ONLY,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,Default to NEEDS_OFFICIAL_SOURCE. International admissions requirements need official review.
alte_international_v1,International admissions join flow,international_admissions,,en,join.alte.edu.ge,approved,true,high,60,"International applicants, especially from join.alte.edu.ge, should be treated as high-priority leads and routed to International Admissions. Medicine, visa and relocation questions",HANDOVER_ONLY,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,Default to NEEDS_OFFICIAL_SOURCE. International admissions requirements need official review.
alte_test_medicine_md_v1,Medicine MD routing guidance - EN,medicine,,en,join.alte.edu.ge,review_required,true,high,60,"Medicine or MD admission questions, including applications from India, should route to International Admissions or the Medicine pipeline. The bot must avoid inventing exact eligibi",HANDOVER_ONLY,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,Default to NEEDS_OFFICIAL_SOURCE. Medicine/MD requirements need official review.
alte_programs_general_v1,AI and data analytics general interest,programs,,en,alte.edu.ge,approved,true,medium,120,"For AI and data analytics interest, the assistant should collect contact details and route the lead to Admissions. Exact program facts should be confirmed from an approved current ",APPROVE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,"Choose APPROVE only for official reviewed wording. If unsure, choose NEEDS_OFFICIAL_SOURCE."
alte_programs_general_v1,Computer science program general interest,programs,,en,alte.edu.ge,approved,true,medium,120,"For computer science interest, the assistant should collect contact details and route the lead to Admissions. Exact admission criteria and curriculum details require an approved cu",APPROVE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,"Choose APPROVE only for official reviewed wording. If unsure, choose NEEDS_OFFICIAL_SOURCE."
alte_programs_general_v1,International relations program general interest,programs,,en,alte.edu.ge,approved,true,medium,120,"For international relations program interest, the assistant should collect contact details and route the lead to Admissions. Exact program requirements must be verified from an app",APPROVE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,"Choose APPROVE only for official reviewed wording. If unsure, choose NEEDS_OFFICIAL_SOURCE."
alte_programs_general_v1,Medicine / 6-year MD high sensitivity,programs,,en,join.alte.edu.ge,approved,true,high,60,"Medicine / 6-year MD questions are high-sensitivity admissions topics. The assistant may collect contact, country and city, then route the lead to International Admissions or Admis",APPROVE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,Default to NEEDS_OFFICIAL_SOURCE. Medicine/MD requirements need official review.
alte_programs_general_v1,Business program general interest,programs,,ka,alte.edu.ge,approved,true,medium,120,"ბიზნესის მიმართულებით დაინტერესებისას ბოტმა უნდა შეაგროვოს საკონტაქტო ინფორმაცია და გადასცეს ლიდი Admissions გუნდს. კონკრეტული ფასი, კრიტერიუმები და ვადები არ უნდა გამოიგონოს.",APPROVE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,"Choose APPROVE only for official reviewed wording. If unsure, choose NEEDS_OFFICIAL_SOURCE."
alte_programs_general_v1,Journalism program general interest,programs,,ka,alte.edu.ge,approved,true,medium,120,ჟურნალისტიკის პროგრამაზე ინტერესისას ბოტმა უნდა შეაგროვოს საკონტაქტო ინფორმაცია და Admissions გუნდს გადასცეს მოთხოვნა. დეტალები ოფიციალურად უნდა დადასტურდეს.,APPROVE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,"Choose APPROVE only for official reviewed wording. If unsure, choose NEEDS_OFFICIAL_SOURCE."
alte_programs_general_v1,Law program general interest,programs,,ka,alte.edu.ge,approved,true,medium,120,სამართლის პროგრამაზე ინტერესისას ბოტმა უნდა შეაგროვოს საკონტაქტო ინფორმაცია და გადაამისამართოს მოთხოვნა Admissions გუნდთან. დეტალური მოთხოვნები უნდა გადამოწმდეს ოფიციალურ წყაროში.,APPROVE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,"Choose APPROVE only for official reviewed wording. If unsure, choose NEEDS_OFFICIAL_SOURCE."
alte_programs_general_v1,Psychology program general interest,programs,,ka,alte.edu.ge,approved,true,medium,120,ფსიქოლოგიის პროგრამაზე ინტერესისას ბოტმა უნდა შეაგროვოს საკონტაქტო ინფორმაცია და Admissions გუნდს გადასცეს მოთხოვნა. ზუსტი პროგრამული დეტალები ოფიციალურად უნდა დადასტურდეს.,APPROVE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,"Choose APPROVE only for official reviewed wording. If unsure, choose NEEDS_OFFICIAL_SOURCE."
alte_programs_general_v1,Tourism program general interest,programs,,ka,alte.edu.ge,approved,true,medium,120,ტურიზმის პროგრამაზე ინტერესისას ბოტმა უნდა შეაგროვოს საკონტაქტო ინფორმაცია და Admissions გუნდს გადასცეს ლიდი. ზუსტი დეტალები უნდა დადასტურდეს.,APPROVE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,"Choose APPROVE only for official reviewed wording. If unsure, choose NEEDS_OFFICIAL_SOURCE."
alte_student_services_v1,Student services safe routing - KA,student_services,,ka,alte.edu.ge,approved,true,medium,45,"არსებული სტუდენტის შეკითხვები, მათ შორის ბიბლიოთეკა, აკადემიური კალენდარი და გამოცდის განრიგი, უნდა დამუშავდეს Student Services მიმართულებით ან დამტკიცებული აქტიური წყაროთი. ზუსტი ",APPROVE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,"Choose APPROVE only for official reviewed wording. If unsure, choose NEEDS_OFFICIAL_SOURCE."
